     28250 CLK=1 RST=0 OUT= 0 7
     28300 CLK=0 RST=0 OUT= 0 7
     28350 CLK=1 RST=0 OUT= 0 6
     28400 CLK=0 RST=0 OUT= 0 6
     28450 CLK=1 RST=0 OUT= 0 6
     28500 CLK=0 RST=0 OUT= 0 6
     28550 CLK=1 RST=0 OUT= 0 6
     28600 CLK=0 RST=0 OUT= 0 6
     28650 CLK=1 RST=0 OUT= 0 5
     28700 CLK=0 RST=0 OUT= 0 5
     28750 CLK=1 RST=0 OUT= 0 5
     28800 CLK=0 RST=0 OUT= 0 5
     28850 CLK=1 RST=0 OUT= 0 5
     28900 CLK=0 RST=0 OUT= 0 5
     28950 CLK=1 RST=0 OUT= 0 4
     29000 CLK=0 RST=0 OUT= 0 4
     29050 CLK=1 RST=0 OUT= 0 4
     29100 CLK=0 RST=0 OUT= 0 4
     29150 CLK=1 RST=0 OUT= 0 4
